table,name_pt,query_en,source,rank,curie,label,retrieved,foodon_release,status,search_limit,returned_count
regional,Picanha,top sirloin cap,search,1,FOODON_02000159,beef culotte roast,2026-09-24,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,found,5,3
regional,Picanha,top sirloin cap,search,2,FOODON_02000149,beef top sirloin steak,2026-09-24,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,found,5,3
regional,Picanha,top sirloin cap,search,3,FOODON_02000157,beef culotte steak,2026-09-24,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,found,5,3
regional,Picanha,top sirloin cap,recorded,,FOODON_02000157,beef culotte steak,2026-09-24,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,found,,
regional,Fraldinha,beef flap,search,1,FOODON_02000116,beef chuck flap/edge roast (raw),2026-09-24,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,found,5,5
regional,Fraldinha,beef flap,search,2,FOODON_02000115,beef chuck flap/edge roast,2026-09-24,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,found,5,5
regional,Fraldinha,beef flap,search,3,FOODON_02000172,beef sirloin bavette flap (raw),2026-09-24,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,found,5,5
regional,Fraldinha,beef flap,search,4,FOODON_02000171,beef sirloin bavette flap,2026-09-24,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,found,5,5
regional,Fraldinha,beef flap,search,5,FOODON_02000173,beef sirloin bavette steak,2026-09-24,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,found,5,5
regional,Fraldinha,beef flap,recorded,,FOODON_02000171,beef sirloin bavette flap,2026-09-24,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,found,,
regional,Patinho,beef knuckle,search,1,FOODON_02000025,beef sirloin tip,2026-09-24,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,found,5,1
regional,Patinho,beef knuckle,recorded,,FOODON_02000025,beef sirloin tip,2026-09-24,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,found,,
regional,Capa de contra-filé,beef ribeye cap steak (raw),search,1,FOODON_02000218,beef ribeye cap steak (raw),2026-09-24,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,found,5,1
regional,Capa de contra-filé,beef ribeye cap steak (raw),recorded,,FOODON_02000218,beef ribeye cap steak (raw),2026-09-24,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,found,,
regional,Charque,jerked beef,search,1,FOODON_03302103,beef jerky,2026-09-24,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,found,5,3
regional,Charque,jerked beef,search,2,FOODON_03311357,imitation beef jerky,2026-09-24,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,found,5,3
regional,Charque,jerked beef,search,3,FOODON_00002832,Biltong,2026-09-24,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,found,5,3
regional,Carne seca (jabá),dried salted beef,search,1,FOODON_00001310,mum,2026-09-24,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,found,5,1
regional,Bacalhau salgado,salted cod,search,1,FOODON_03542618,26180 - salted cod (efsa foodex2),2026-09-24,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,found,5,5
regional,Bacalhau salgado,salted cod,search,2,FOODON_03307021,codfish (salted),2026-09-24,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,found,5,5
regional,Bacalhau salgado,salted cod,search,3,FOODON_03400439,salt substitute (codex),2026-09-24,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,found,5,5
regional,Bacalhau salgado,salted cod,search,4,FOODON_03400379,"brown salt: nutrient, dietary supplement (codex)",2026-09-24,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,found,5,5
regional,Bacalhau salgado,salted cod,search,5,FOODON_03540169,01690 - pretzels (efsa foodex2),2026-09-24,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,found,5,5
regional,Bacalhau salgado,salted cod,recorded,,FOODON_03307021,codfish (salted),2026-09-24,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,found,,
regional,Orelha e rabo de porco salgados,salt pork,search,1,FOODON_00001077,salt pork meat food product,2026-09-24,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,found,5,5
regional,Orelha e rabo de porco salgados,salt pork,search,2,FOODON_03542148,21480 - breakfast-type sausage (efsa foodex2),2026-09-24,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,found,5,5
